,LEA,School State,School,Year,Category,Sex,Total_Disability,no_IEP,Total,LEP,Race,Count
0,FERGUSON-FLORISSANT R-II,MO,MCCLUER HIGH,2015,SWD: Corporal punishment,M,0.0,0.0,0.0,0.0,American Indian or Alaska Native,0.0
1,FERGUSON-FLORISSANT R-II,MO,MCCLUER HIGH,2015,SWD: Corporal punishment,F,0.0,0.0,0.0,0.0,American Indian or Alaska Native,0.0
2,FERGUSON-FLORISSANT R-II,MO,MCCLUER HIGH,2015,SWD: Students receiving one or more in-school suspensions,M,71.0,0.0,71.0,2.0,American Indian or Alaska Native,0.0
3,FERGUSON-FLORISSANT R-II,MO,MCCLUER HIGH,2015,SWD: Students receiving one or more in-school suspensions,F,33.0,2.0,35.0,0.0,American Indian or Alaska Native,0.0
4,FERGUSON-FLORISSANT R-II,MO,MCCLUER HIGH,2015,SWD: Students receiving only one out-of-school suspension,M,24.0,0.0,24.0,2.0,American Indian or Alaska Native,0.0
5,FERGUSON-FLORISSANT R-II,MO,MCCLUER HIGH,2015,SWD: Students receiving only one out-of-school suspension,F,13.0,2.0,15.0,0.0,American Indian or Alaska Native,0.0
6,FERGUSON-FLORISSANT R-II,MO,MCCLUER HIGH,2015,SWD: Students receiving more than one out-of-school suspension,M,54.0,0.0,54.0,0.0,American Indian or Alaska Native,0.0
7,FERGUSON-FLORISSANT R-II,MO,MCCLUER HIGH,2015,SWD: Students receiving more than one out-of-school suspension,F,22.0,0.0,22.0,0.0,American Indian or Alaska Native,0.0
8,FERGUSON-FLORISSANT R-II,MO,MCCLUER HIGH,2015,SWD: Expulsions with educational services,M,0.0,0.0,0.0,0.0,American Indian or Alaska Native,0.0
9,FERGUSON-FLORISSANT R-II,MO,MCCLUER HIGH,2015,SWD: Expulsions with educational services,F,0.0,0.0,0.0,0.0,American Indian or Alaska Native,0.0
10,FERGUSON-FLORISSANT R-II,MO,MCCLUER HIGH,2015,SWD: Expulsions without educational services,M,0.0,0.0,0.0,0.0,American Indian or Alaska Native,0.0
11,FERGUSON-FLORISSANT R-II,MO,MCCLUER HIGH,2015,SWD: Expulsions without educational services,F,0.0,0.0,0.0,0.0,American Indian or Alaska Native,0.0
12,FERGUSON-FLORISSANT R-II,MO,MCCLUER HIGH,2015,SWD: Expulsions under zero-tolerance policies,M,0.0,0.0,0.0,0.0,American Indian or Alaska Native,0.0
13,FERGUSON-FLORISSANT R-II,MO,MCCLUER HIGH,2015,SWD: Expulsions under zero-tolerance policies,F,0.0,0.0,0.0,0.0,American Indian or Alaska Native,0.0
14,FERGUSON-FLORISSANT R-II,MO,MCCLUER HIGH,2015,SWD: Transferred to Alternative School,M,0.0,0.0,0.0,0.0,American Indian or Alaska Native,0.0
15,FERGUSON-FLORISSANT R-II,MO,MCCLUER HIGH,2015,SWD: Transferred to Alternative School,F,0.0,0.0,0.0,0.0,American Indian or Alaska Native,0.0
16,FERGUSON-FLORISSANT R-II,MO,MCCLUER HIGH,2015,SWD: Referral to law enforcement,M,0.0,0.0,0.0,0.0,American Indian or Alaska Native,0.0
17,FERGUSON-FLORISSANT R-II,MO,MCCLUER HIGH,2015,SWD: Referral to law enforcement,F,0.0,0.0,0.0,0.0,American Indian or Alaska Native,0.0
18,FERGUSON-FLORISSANT R-II,MO,MCCLUER HIGH,2015,SWD: School-related arrest,M,0.0,0.0,0.0,0.0,American Indian or Alaska Native,0.0
19,FERGUSON-FLORISSANT R-II,MO,MCCLUER HIGH,2015,SWD: School-related arrest,F,0.0,0.0,0.0,0.0,American Indian or Alaska Native,0.0
20,FERGUSON-FLORISSANT R-II,MO,MCCLUER HIGH,2015,SWOD: Corporal punishment,M,,,0.0,0.0,American Indian or Alaska Native,0.0
21,FERGUSON-FLORISSANT R-II,MO,MCCLUER HIGH,2015,SWOD: Corporal punishment,F,,,0.0,0.0,American Indian or Alaska Native,0.0
22,FERGUSON-FLORISSANT R-II,MO,MCCLUER HIGH,2015,SWOD: Students receiving one or more in-school suspensions,M,,,191.0,2.0,American Indian or Alaska Native,0.0
23,FERGUSON-FLORISSANT R-II,MO,MCCLUER HIGH,2015,SWOD: Students receiving one or more in-school suspensions,F,,,196.0,2.0,American Indian or Alaska Native,2.0
24,FERGUSON-FLORISSANT R-II,MO,MCCLUER HIGH,2015,SWOD: Students receiving only one out-of-school suspension,M,,,68.0,2.0,American Indian or Alaska Native,0.0
25,FERGUSON-FLORISSANT R-II,MO,MCCLUER HIGH,2015,SWOD: Students receiving only one out-of-school suspension,F,,,84.0,0.0,American Indian or Alaska Native,0.0
26,FERGUSON-FLORISSANT R-II,MO,MCCLUER HIGH,2015,SWOD: Students receiving more than one out-of-school suspension,M,,,133.0,0.0,American Indian or Alaska Native,0.0
27,FERGUSON-FLORISSANT R-II,MO,MCCLUER HIGH,2015,SWOD: Students receiving more than one out-of-school suspension,F,,,124.0,2.0,American Indian or Alaska Native,2.0
28,FERGUSON-FLORISSANT R-II,MO,MCCLUER HIGH,2015,SWOD: Expulsions with educational services,M,,,0.0,0.0,American Indian or Alaska Native,0.0
29,FERGUSON-FLORISSANT R-II,MO,MCCLUER HIGH,2015,SWOD: Expulsions with educational services,F,,,0.0,0.0,American Indian or Alaska Native,0.0
30,FERGUSON-FLORISSANT R-II,MO,MCCLUER HIGH,2015,SWOD: Expulsions without educational services,M,,,0.0,0.0,American Indian or Alaska Native,0.0
31,FERGUSON-FLORISSANT R-II,MO,MCCLUER HIGH,2015,SWOD: Expulsions without educational services,F,,,0.0,0.0,American Indian or Alaska Native,0.0
32,FERGUSON-FLORISSANT R-II,MO,MCCLUER HIGH,2015,SWOD: Expulsions under zero-tolerance policies,M,,,0.0,0.0,American Indian or Alaska Native,0.0
33,FERGUSON-FLORISSANT R-II,MO,MCCLUER HIGH,2015,SWOD: Expulsions under zero-tolerance policies,F,,,0.0,0.0,American Indian or Alaska Native,0.0
34,FERGUSON-FLORISSANT R-II,MO,MCCLUER HIGH,2015,SWOD: Transferred to Alternative School,M,,,0.0,0.0,American Indian or Alaska Native,0.0
35,FERGUSON-FLORISSANT R-II,MO,MCCLUER HIGH,2015,SWOD: Transferred to Alternative School,F,,,0.0,0.0,American Indian or Alaska Native,0.0
36,FERGUSON-FLORISSANT R-II,MO,MCCLUER HIGH,2015,SWOD: Referral to law enforcement,M,,,2.0,0.0,American Indian or Alaska Native,0.0
37,FERGUSON-FLORISSANT R-II,MO,MCCLUER HIGH,2015,SWOD: Referral to law enforcement,F,,,0.0,0.0,American Indian or Alaska Native,0.0
38,FERGUSON-FLORISSANT R-II,MO,MCCLUER HIGH,2015,SWOD: School-related arrest,M,,,2.0,0.0,American Indian or Alaska Native,0.0
39,FERGUSON-FLORISSANT R-II,MO,MCCLUER HIGH,2015,SWOD: School-related arrest,F,,,0.0,0.0,American Indian or Alaska Native,0.0
40,FERGUSON-FLORISSANT R-II,MO,MCCLUER HIGH,2015,Total enrollment,M,,,541.0,8.0,American Indian or Alaska Native,0.0
41,FERGUSON-FLORISSANT R-II,MO,MCCLUER HIGH,2015,Total enrollment,F,,,579.0,11.0,American Indian or Alaska Native,2.0
42,FERGUSON-FLORISSANT R-II,MO,MCCLUER NORTH HIGH,2015,SWD: Corporal punishment,M,0.0,0.0,0.0,0.0,American Indian or Alaska Native,0.0
43,FERGUSON-FLORISSANT R-II,MO,MCCLUER NORTH HIGH,2015,SWD: Corporal punishment,F,0.0,0.0,0.0,0.0,American Indian or Alaska Native,0.0
44,FERGUSON-FLORISSANT R-II,MO,MCCLUER NORTH HIGH,2015,SWD: Students receiving one or more in-school suspensions,M,57.0,2.0,59.0,0.0,American Indian or Alaska Native,0.0
45,FERGUSON-FLORISSANT R-II,MO,MCCLUER NORTH HIGH,2015,SWD: Students receiving one or more in-school suspensions,F,33.0,2.0,35.0,0.0,American Indian or Alaska Native,0.0
46,FERGUSON-FLORISSANT R-II,MO,MCCLUER NORTH HIGH,2015,SWD: Students receiving only one out-of-school suspension,M,18.0,2.0,20.0,0.0,American Indian or Alaska Native,0.0
47,FERGUSON-FLORISSANT R-II,MO,MCCLUER NORTH HIGH,2015,SWD: Students receiving only one out-of-school suspension,F,5.0,0.0,5.0,0.0,American Indian or Alaska Native,0.0
48,FERGUSON-FLORISSANT R-II,MO,MCCLUER NORTH HIGH,2015,SWD: Students receiving more than one out-of-school suspension,M,43.0,0.0,43.0,0.0,American Indian or Alaska Native,0.0
49,FERGUSON-FLORISSANT R-II,MO,MCCLUER NORTH HIGH,2015,SWD: Students receiving more than one out-of-school suspension,F,27.0,2.0,29.0,0.0,American Indian or Alaska Native,0.0
50,FERGUSON-FLORISSANT R-II,MO,MCCLUER NORTH HIGH,2015,SWD: Expulsions with educational services,M,0.0,0.0,0.0,0.0,American Indian or Alaska Native,0.0
51,FERGUSON-FLORISSANT R-II,MO,MCCLUER NORTH HIGH,2015,SWD: Expulsions with educational services,F,0.0,0.0,0.0,0.0,American Indian or Alaska Native,0.0
52,FERGUSON-FLORISSANT R-II,MO,MCCLUER NORTH HIGH,2015,SWD: Expulsions without educational services,M,0.0,0.0,0.0,0.0,American Indian or Alaska Native,0.0
53,FERGUSON-FLORISSANT R-II,MO,MCCLUER NORTH HIGH,2015,SWD: Expulsions without educational services,F,0.0,0.0,0.0,0.0,American Indian or Alaska Native,0.0
54,FERGUSON-FLORISSANT R-II,MO,MCCLUER NORTH HIGH,2015,SWD: Expulsions under zero-tolerance policies,M,0.0,0.0,0.0,0.0,American Indian or Alaska Native,0.0
55,FERGUSON-FLORISSANT R-II,MO,MCCLUER NORTH HIGH,2015,SWD: Expulsions under zero-tolerance policies,F,0.0,0.0,0.0,0.0,American Indian or Alaska Native,0.0
56,FERGUSON-FLORISSANT R-II,MO,MCCLUER NORTH HIGH,2015,SWD: Transferred to Alternative School,M,0.0,0.0,0.0,0.0,American Indian or Alaska Native,0.0
57,FERGUSON-FLORISSANT R-II,MO,MCCLUER NORTH HIGH,2015,SWD: Transferred to Alternative School,F,0.0,0.0,0.0,0.0,American Indian or Alaska Native,0.0
58,FERGUSON-FLORISSANT R-II,MO,MCCLUER NORTH HIGH,2015,SWD: Referral to law enforcement,M,0.0,0.0,0.0,0.0,American Indian or Alaska Native,0.0
59,FERGUSON-FLORISSANT R-II,MO,MCCLUER NORTH HIGH,2015,SWD: Referral to law enforcement,F,0.0,0.0,0.0,0.0,American Indian or Alaska Native,0.0
60,FERGUSON-FLORISSANT R-II,MO,MCCLUER NORTH HIGH,2015,SWD: School-related arrest,M,0.0,0.0,0.0,0.0,American Indian or Alaska Native,0.0
61,FERGUSON-FLORISSANT R-II,MO,MCCLUER NORTH HIGH,2015,SWD: School-related arrest,F,0.0,0.0,0.0,0.0,American Indian or Alaska Native,0.0
62,FERGUSON-FLORISSANT R-II,MO,MCCLUER NORTH HIGH,2015,SWOD: Corporal punishment,M,,,0.0,0.0,American Indian or Alaska Native,0.0
63,FERGUSON-FLORISSANT R-II,MO,MCCLUER NORTH HIGH,2015,SWOD: Corporal punishment,F,,,0.0,0.0,American Indian or Alaska Native,0.0
64,FERGUSON-FLORISSANT R-II,MO,MCCLUER NORTH HIGH,2015,SWOD: Students receiving one or more in-school suspensions,M,,,272.0,0.0,American Indian or Alaska Native,0.0
65,FERGUSON-FLORISSANT R-II,MO,MCCLUER NORTH HIGH,2015,SWOD: Students receiving one or more in-school suspensions,F,,,228.0,0.0,American Indian or Alaska Native,2.0
